,Title,Description,Link
73,Icon font,Icon fonts contain glyphs and symbols in place of textual letters.,https://github.com//topics/icon-font
74,iOS,iOS is the operating system for Apple's mobile products.,https://github.com//topics/ios
75,IPFS,IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.,https://github.com//topics/ipfs
76,Java,"Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications.",https://github.com//topics/java
77,JavaScript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://github.com//topics/javascript
78,Jekyll,"Jekyll is a simple, blog-aware static site generator.",https://github.com//topics/jekyll
79,jQuery,jQuery is a lightweight library that simplifies programming with JavaScript.,https://github.com//topics/jquery
80,JSON,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.",https://github.com//topics/json
81,The Julia Language,"Julia is a high-level, high-performance dynamic programming language for numerical computing.",https://github.com//topics/julia
82,Jupyter Notebook,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.",https://github.com//topics/jupyter-notebook
83,Koa,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.,https://github.com//topics/koa
84,Kotlin,Kotlin is a statically typed programming language for multiplatform applications.,https://github.com//topics/kotlin
85,Kubernetes,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.",https://github.com//topics/kubernetes
86,Laravel,The PHP Framework for Web Artisans.,https://github.com//topics/laravel
87,LaTeX,LaTeX is a document preparation system.,https://github.com//topics/latex
88,Library,"A library is a collection of resources, often created to make programming a task simpler.",https://github.com//topics/library
89,Linux,Linux is an open source kernel.,https://github.com//topics/linux
90,Localization (l10n),Translation of a software interface and messages to another language plus to work with local cultures.,https://github.com//topics/localization
91,Lua,"Lua is a lightweight, embeddable scripting language.",https://github.com//topics/lua
92,Machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,https://github.com//topics/machine-learning
93,macOS,macOS is Apple's operating system.,https://github.com//topics/macos
94,Markdown,Markdown is a lightweight markup language.,https://github.com//topics/markdown
95,Mastodon,"Mastodon is a free, decentralized, open source microblogging network.",https://github.com//topics/mastodon
96,Material Design,Material Design is a unified system of theory and tools for creating digital experiences developed by Google.,https://github.com//topics/material-design
97,MATLAB,MATLAB is a programming platform for numerical computation and visualization.,https://github.com//topics/matlab
98,Maven,Maven is a build automation tool used primarily for Java projects.,https://github.com//topics/maven
99,Minecraft,Minecraft is a sandbox video game.,https://github.com//topics/minecraft
100,Mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",https://github.com//topics/mobile
101,Monero,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://github.com//topics/monero
102,MongoDB,MongoDB is an open source NoSQL document-oriented database.,https://github.com//topics/mongodb
103,Mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://github.com//topics/mongoose
104,Monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",https://github.com//topics/monitoring
105,MvvmCross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://github.com//topics/mvvmcross
106,MySQL,MySQL is an open source relational database management system.,https://github.com//topics/mysql
107,NativeScript,NativeScript is a JavaScript-native mobile framework.,https://github.com//topics/nativescript
108,Nim,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://github.com//topics/nim
109,Natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.,https://github.com//topics/nlp
110,Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com//topics/nodejs
111,NoSQL,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,https://github.com//topics/nosql
112,npm,npm is a package manager for JavaScript included with Node.js.,https://github.com//topics/npm
113,Objective-C,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://github.com//topics/objective-c
114,OpenGL,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://github.com//topics/opengl
115,Operating system,An operating system is a program that manages a computer's programs and applications.,https://github.com//topics/operating-system
116,P2P,Peer-to-Peer applications are decentralized or distributed.,https://github.com//topics/p2p
117,Package manager,A package manager is a set of tools that automates and manages computer software.,https://github.com//topics/package-manager
118,Parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,https://github.com//topics/parsing
119,Perl,Perl is a highly capable and feature-rich programming language.,https://github.com//topics/perl
120,Phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://github.com//topics/phaser
121,PHP,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://github.com//topics/php
122,PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://github.com//topics/pico-8
123,Pixel Art,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://github.com//topics/pixel-art
124,PostgreSQL,PostgreSQL is an open source database system.,https://github.com//topics/postgresql
125,Project management,Project management is about building scope and executing on the project's goals.,https://github.com//topics/project-management
126,Publishing,Publishing is the dissemination of making information available to the general public through various mediums.,https://github.com//topics/publishing
127,PWA,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://github.com//topics/pwa
128,Python,Python is a dynamically typed programming language.,https://github.com//topics/python
129,Qt,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://github.com//topics/qt
130,R,R is a free programming language and software environment for statistical computing and graphics.,https://github.com//topics/r
131,Rails,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://github.com//topics/rails
132,Raspberry Pi,The Raspberry Pi is a popular single-board computer.,https://github.com//topics/raspberry-pi
133,Ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://github.com//topics/ratchet
134,React,React is an open source JavaScript library used for designing user interfaces.,https://github.com//topics/react
135,React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com//topics/react-native
136,ReactiveUI,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://github.com//topics/reactiveui
137,Redux,Redux is a predictable state container for JavaScript apps.,https://github.com//topics/redux
138,REST API,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,https://github.com//topics/rest-api
139,Ruby,Ruby is a scripting language designed for simplified object-oriented programming.,https://github.com//topics/ruby
140,Rust,Rust is a systems programming language created by Mozilla.,https://github.com//topics/rust
141,Sass,Sass is a stable extension to classic CSS.,https://github.com//topics/sass
142,Scala,Scala is an object-oriented programming language.,https://github.com//topics/scala
143,scikit-learn,scikit-learn is a Python module for machine learning.,https://github.com//topics/scikit-learn
144,Software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",https://github.com//topics/sdn
145,Security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",https://github.com//topics/security
146,Server,A server is a program made to process requests and deliver data to clients.,https://github.com//topics/server
147,Serverless,Serverless architecture refers to apps that depend on third-party services or custom code.,https://github.com//topics/serverless
148,Shell,"A shell is a command-line tool, designed to be run by the Unix shell.",https://github.com//topics/shell
149,Sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://github.com//topics/sketch
150,SpaceVim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://github.com//topics/spacevim
151,Spring Boot,Spring Boot is a coding and configuration model for Java applications.,https://github.com//topics/spring-boot
152,SQL,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://github.com//topics/sql
153,Storybook,Storybook is a UI development environment for your UI components.,https://github.com//topics/storybook
154,Support,Get your team and customers the help they need.,https://github.com//topics/support
155,Swift,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://github.com//topics/swift
156,Symfony,Symfony is a set of reusable PHP components and a web framework.,https://github.com//topics/symfony
157,Telegram,"Telegram is a non-profit, cloud-based instant messaging service.",https://github.com//topics/telegram
158,Tensorflow,TensorFlow is an open source software library for numerical computation.,https://github.com//topics/tensorflow
159,Terminal,The terminal is an interface in which you can type and execute text-based commands.,https://github.com//topics/terminal
160,Terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://github.com//topics/terraform
161,Testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,https://github.com//topics/testing
162,Twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://github.com//topics/twitter
163,TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com//topics/typescript
164,Ubuntu,Ubuntu is a Linux-based operating system.,https://github.com//topics/ubuntu
165,Unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://github.com//topics/unity
166,Unreal Engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://github.com//topics/unreal-engine
167,Vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://github.com//topics/vagrant
168,Vim,Vim is a console-run text editor program.,https://github.com//topics/vim
169,Virtual reality,Virtual reality is an artificial environment displayed through digital means.,https://github.com//topics/virtual-reality
170,Vue.js,Vue.js is a JavaScript framework for building interactive web applications.,https://github.com//topics/vue
171,Wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://github.com//topics/wagtail
172,Web Components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://github.com//topics/web-components
173,Web app,A web application is any computer program that performs a specific function by using a web browser as its client.,https://github.com//topics/webapp
174,Webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://github.com//topics/webpack
175,Windows,Windows is Microsoft's GUI-based operating system.,https://github.com//topics/windows
176,WordPlate,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://github.com//topics/wordplate
177,WordPress,"WordPress is a popular content management system, used for websites, forums, social, ecommerce, and blogs.",https://github.com//topics/wordpress
178,Xamarin,Xamarin is a platform for developing iOS and Android applications.,https://github.com//topics/xamarin
179,XML,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.,https://github.com//topics/xml
